Gen,Fit,Cat,Div,Loc,Comp,Unq,Tot,Hits
143310,316383,0,0.00341615,0.8,0.1,0.9,82,46,308606
143340,316383,0,0.00341615,0.8,0.1,0.9,82,46,308666
143370,316383,0,0.00341615,0.8,0.1,0.9,82,46,308703
143400,316383,0,0.00341615,0.8,0.1,0.9,82,46,308761
143490,316383,0,0.00341615,0.8,0.1,0.9,82,46,308909
143670,316383,0,0.00341615,0.8,0.1,0.9,82,46,309232
144840,316383,0,0.00341615,0.8,0.1,0.9,82,46,311304
145860,316383,0,0.00279503,0.8,0.1,0.9,83,47,313047
146250,316383,0,0.00279503,0.8,0.1,0.9,83,47,313707
147030,316383,0,0.00279503,0.8,0.1,0.9,83,47,315017
147060,316383,0,0.00279503,0.8,0.1,0.9,83,47,315072
147150,316383,0,0.00279503,0.8,0.1,0.9,83,47,315239
147180,316383,0,0.00279503,0.8,0.1,0.9,83,47,315291
147720,316383,0,0.00254658,0.8,0.1,0.9,84,48,316090
148110,316383,0,0.00254658,0.8,0.1,0.9,84,48,316748
148140,316383,0,0.00254658,0.8,0.1,0.9,84,48,316790
148170,316383,0,0.00254658,0.8,0.1,0.9,84,48,316829
148440,316383,0,0.00254658,0.8,0.1,0.9,84,48,317259
149520,316383,0,0.00254658,0.8,0.1,0.9,84,48,318718
149790,316383,0,0.00229814,0.8,0.1,0.9,84,48,319089
150060,316383,0,0.00229814,0.8,0.1,0.9,84,48,319511
150150,316383,0,0.00167702,0.8,0.1,0.9,85,49,319654
150273,316383,1,0.20697,0.8,0.1,0.9,359,72,320045
151590,316383,0,0.0511014,0.575266,0.369681,0.660284,359,72,321941
151740,316383,0,0.0521656,0.577329,0.367205,0.662484,359,72,322194
153000,316383,0,0.0285424,0.692768,0.228678,0.78562,360,73,324825
153480,316383,0,0.024265,0.718855,0.197374,0.813446,360,73,325750
154200,316383,0,0.0232919,0.728793,0.185448,0.824046,360,73,327165
